word,count
لله,2776
من,2763
و,1666
فى,1185
ما,1013
لذين,1000
إن,966
لا,812
على,686
إلا,664
ولا,658
وما,646
أن,638
ب,601
لأرض,444
إلى,430
قال,412
لهم,373
ف,354
ومن,342
ثم,340
لكم,337
به,327
كان,323
لذى,301
بما,296
قل,294
ذلك,280
أو,280
له,275
هو,265
ءامنوا,263
هم,261
وإن,254
قالوا,250
كل,245
فيها,241
كانوا,229
عن,223
إذا,221
ربك,220
يوم,217
عليهم,214
لحق,191
كفروا,190
لناس,190
شىء,190
هـذا,190
كنتم,188
لسمـوت,185
لم,178
لكتـب,177
وهو,171
فإن,168
إذ,165
عليكم,164
لرحمـن,160
إنا,156
فلا,156
منهم,153
عذاب,150
بعد,149
إنه,147
لرحيم,146
عليه,146
يـأيها,142
حتى,142
وهم,137
وإذا,134
أولـئك,133
إنى,131
أم,130
ولقد,129
رب,128
فيه,127
بل,127
قد,126
عند,119
لسماء,118
قبل,118
خير,116
يشاء,116
بسم,115
لدنيا,115
إنما,113
لقوم,113
لـاخرة,112
ولـكن,112
ربهم,111
ولو,111
مما,111
منكم,107
عليم,106
ربنا,106
لنار,105
موسى,105
ربكم,102
فلما,101
ألا,99
لمن,98
أنزل,95
ربى,94
لعذاب,92
دون,91
فمن,90
تقوا,88
منه,88
سبيل,87
فإذا,87
يؤمنون,86
فما,86
منها,86
كذلك,86
لمؤمنين,86
وقال,85
وكان,84
مبين,84
ليوم,83
خلق,83
لنا,83
تعملون,83
يعلمون,82
بين,80
للذين,80
لو,79
بها,79
قوم,79
ألم,78
إليك,77
شيـا,77
إليه,76
أنتم,76
عنهم,75
لما,74
ربه,73
إلـه,73
ليل,73
أنفسهم,72
وإذ,72
جهنم,72
لك,71
لظـلمين,71
يعلم,71
لقيـمة,70
غير,69
وأن,68
لتى,67
لحيوة,67
هل,67
أنا,66
ورسوله,66
قلوبهم,65
نحن,65
فرعون,65
يومئذ,65
لصلوة,64
علم,64
لعزيز,64
إنهم,63
لشيطـن,63
لى,63
كنا,63
لصـلحـت,62
جنـت,62
كيف,62
أصحـب,62
لـايـت,62
لعـلمين,61
بعض,61
وقالوا,61
رحيم,61
كما,59
لعلكم,59
جعل,59
لن,59
لرسول,59
مع,58
بينهم,58
لإنسـن,58
لجنة,57
بـايـتنا,57
فقد,57
عليك,57
جاء,57
لكـفرين,56
شاء,56
تعلمون,56
يعملون,56
أعلم,55
أنت,55
قليلا,55
ذكر,54
لقد,54
وعملوا,53
لملـئكة,53
لنهار,53
أليم,52
رسول,52
ءايـت,52
قبلهم,52
غفور,52
علينا,51
يقولون,51
للناس,51
كنت,51
أرسلنا,51
لقرءان,51
لدين,50
إنك,50
عظيم,49
جميعا,49
أمة,49
تجرى,48
نفس,47
هى,47
عما,47
ءاية,47
مثل,47
ليس,47
ولم,47
كثيرا,46
هـذه,46
فأولـئك,46
عليها,46
وأنتم,45
أفلا,45
ذلكم,44
ويوم,44
كتـب,44
يهدى,44
خـلدين,44
ولهم,43
لأنهـر,43
وقد,43
أهل,43
كذبوا,43
إبرهيم,43
لحكيم,42
إسرءيل,42
ظلموا,42
ك,42
بهم,41
فهم,41
أمر,41
هـؤلاء,41
أنهم,41
بغير,41
جاءهم,41
لها,41
لعلهم,41
لغيب,40
إليهم,40
قوما,40
هدى,39
وعلى,39
يقول,39
يحب,39
حكيم,39
لساعة,39
لهدى,38
أنفسكم,38
يـقوم,38
أكثرهم,38
لولا,38
وكذلك,38
يريد,38
عذابا,38
وعد,38
دونه,38
كلا,38
ءامنا,37
بكم,37
قدير,37
ذكروا,37
خيرا,37
عنه,37
وجعلنا,37
تحتها,36
صـلحا,36
بن,36
لعظيم,36
لأمر,36
لقول,36
قومه,36
لموت,35
ماء,35
وكانوا,35
لبينـت,35
منا,35
يكون,35
شديد,35
أولم,35
فبأى,35
قيل,34
بكل,34
وفى,34
بـايـت,34
مؤمنين,34
حق,34
معه,34
لنبى,34
رحمة,34
أولياء,34
ءالاء,34
قبلك,33
لعليم,33
وإنا,33
بعضهم,33
أيديهم,33
بنى,33
