sura,aya,start,end,length,sequence
3,27,1,7,7,ليل فى لنهار وتولج لنهار فى ليل
4,137,3,9,7,ثم كفروا ثم ءامنوا ثم كفروا ثم
3,27,9,15,7,لحى من لميت وتخرج لميت من لحى
6,95,7,13,7,لحى من لميت ومخرج لميت من لحى
31,29,5,11,7,ليل فى لنهار ويولج لنهار فى ليل
22,61,4,10,7,ليل فى لنهار ويولج لنهار فى ليل
10,31,14,20,7,لحى من لميت ويخرج لميت من لحى
30,19,1,7,7,لحى من لميت ويخرج لميت من لحى
35,13,1,7,7,ليل فى لنهار ويولج لنهار فى ليل
57,6,1,7,7,ليل فى لنهار ويولج لنهار فى ليل
39,5,7,13,7,ليل على لنهار ويكور لنهار على ليل
4,137,2,6,5,ءامنوا ثم كفروا ثم ءامنوا
3,27,2,6,5,فى لنهار وتولج لنهار فى
3,27,10,14,5,من لميت وتخرج لميت من
2,178,11,15,5,و لعبد ب لعبد و
6,95,8,12,5,من لميت ومخرج لميت من
5,108,17,21,5,لله و سمعوا و لله
5,45,19,23,5,و لسن ب لسن و
5,45,15,19,5,و لأذن ب لأذن و
5,45,7,11,5,و لعين ب لعين و
5,45,11,15,5,و لأنف ب لأنف و
4,137,4,8,5,كفروا ثم ءامنوا ثم كفروا
10,31,15,19,5,من لميت ويخرج لميت من
30,19,2,6,5,من لميت ويخرج لميت من
22,61,5,9,5,فى لنهار ويولج لنهار فى
8,39,8,12,5,لله فإن نتهوا فإن لله
31,29,6,10,5,فى لنهار ويولج لنهار فى
35,13,2,6,5,فى لنهار ويولج لنهار فى
39,5,8,12,5,على لنهار ويكور لنهار على
57,6,2,6,5,فى لنهار ويولج لنهار فى
59,2,20,24,5,من لله فأتىهم لله من
