sura,aya,n_words,n_chars,zscore_n_words,zscore_n_chars,is_z_anomaly
1,1,4,36,-0.9141252676075634,-0.8743585586244838,0
1,2,4,35,-0.9141252676075634,-0.8873211032809729,0
1,3,2,23,-1.1190018191027031,-1.0428716391588417,0
1,4,3,22,-1.0165635433551332,-1.055834183815331,0
1,5,4,37,-0.9141252676075634,-0.8613960139679947,0
1,6,3,32,-1.0165635433551332,-0.9262087372504401,0
1,7,9,82,-0.4019338888697143,-0.27808150442598645,0
2,1,5,41,-0.8116869918599936,-0.8095458353420384,0
2,2,7,55,-0.606810440364854,-0.6280702101511915,0
2,3,9,86,-0.4019338888697143,-0.22623132580003016,0
2,4,14,98,0.11025748986813477,-0.07068078992216131,0
2,5,8,73,-0.5043721646172842,-0.3947444063343881,0
2,6,11,89,-0.19705733737457468,-0.18734369183056296,0
2,7,12,107,-0.09461906162700487,0.045982111986240345,0
2,8,13,87,0.00781921412056495,-0.21326878114354111,0
2,9,11,91,-0.19705733737457468,-0.1614186025175848,0
2,10,12,95,-0.09461906162700487,-0.10956842389162852,0
2,11,11,78,-0.19705733737457468,-0.32993168305194276,0
2,12,7,57,-0.606810440364854,-0.6021451208382133,0
2,13,19,151,0.6224488686059838,0.6163340768717596,0
2,14,16,139,0.3151340413632744,0.4607835409938907,0
2,15,7,66,-0.606810440364854,-0.48548221892981164,0
2,16,12,108,-0.09461906162700487,0.058944656642729416,0
2,17,17,139,0.41757231711084425,0.4607835409938907,0
2,18,6,39,-0.7092487161124238,-0.8354709246550166,0
2,19,21,170,0.8273254201011235,0.862622425345052,0
2,20,25,204,1.2370785230914028,1.3033489436656804,0
2,21,12,102,-0.09461906162700487,-0.01883061129620502,0
2,22,24,190,1.134640247343833,1.1218733184748333,0
2,23,21,147,0.8273254201011235,0.5644838982458033,0
2,24,15,120,0.21269576561570458,0.2144951925205983,0
2,25,34,286,2.1590230048195314,2.366277605497784,0
2,26,39,305,2.67121438355738,2.6125659539710764,0
2,27,20,157,0.7248871443535537,0.694109344810694,0
2,28,14,117,0.11025748986813477,0.17560755855113105,0
2,29,19,138,0.6224488686059838,0.4478209963374016,0
2,30,28,215,1.5443933503341123,1.44593693488706,0
2,31,15,139,0.21269576561570458,0.4607835409938907,0
2,32,12,90,-0.09461906162700487,-0.17438114717407388,0
2,33,23,196,1.0322019715962631,1.1996485864137678,0
2,34,14,122,0.11025748986813477,0.24042028183357644,0
2,35,18,151,0.520010592858414,0.6163340768717596,0
2,36,19,167,0.6224488686059838,0.8237347913755847,0
2,37,11,91,-0.19705733737457468,-0.1614186025175848,0
2,38,17,128,0.41757231711084425,0.31819554977251086,0
2,39,11,101,-0.19705733737457468,-0.031793155952694094,0
2,40,14,132,0.11025748986813477,0.37004572839846717,0
2,41,19,157,0.6224488686059838,0.694109344810694,0
2,42,9,78,-0.4019338888697143,-0.32993168305194276,0
2,43,8,73,-0.5043721646172842,-0.3947444063343881,0
2,44,11,102,-0.19705733737457468,-0.01883061129620502,0
2,45,11,86,-0.19705733737457468,-0.22623132580003016,0
2,46,8,77,-0.5043721646172842,-0.3428942277084318,0
2,47,11,111,-0.19705733737457468,0.09783229061219663,0
2,48,20,133,0.7248871443535537,0.3830082730549562,0
2,49,18,168,0.520010592858414,0.8366973360320737,0
2,50,10,95,-0.2994956131221445,-0.10956842389162852,0
2,51,12,103,-0.09461906162700487,-0.005868066639715946,0
2,52,8,60,-0.5043721646172842,-0.5632574868687461,0
2,53,8,69,-0.5043721646172842,-0.44659458496034443,0
2,54,28,234,1.5443933503341123,1.6922252833603524,0
2,55,14,115,0.11025748986813477,0.14968246923815293,0
2,56,7,61,-0.606810440364854,-0.5502949422122569,0
2,57,19,170,0.6224488686059838,0.862622425345052,0
2,58,21,182,0.8273254201011235,1.0181729612229207,0
2,59,18,141,0.520010592858414,0.4867086303068688,0
2,60,30,225,1.749269901829252,1.5755623814519508,0
2,61,62,497,5.027294725751486,5.101374528016978,1
2,62,29,208,1.646831626081682,1.3551991222916366,0
2,63,16,133,0.3151340413632744,0.3830082730549562,0
2,64,13,108,0.00781921412056495,0.058944656642729416,0
2,65,12,100,-0.09461906162700487,-0.044755700609183165,0
2,66,9,88,-0.4019338888697143,-0.20030623648705204,0
2,67,21,160,0.8273254201011235,0.7329969787801612,0
2,68,24,155,1.134640247343833,0.6681842554977159,0
2,69,18,138,0.520010592858414,0.4478209963374016,0
2,70,17,117,0.41757231711084425,0.17560755855113105,0
2,71,25,186,1.2370785230914028,1.070023139848877,0
2,72,12,87,-0.09461906162700487,-0.21326878114354111,0
2,73,11,109,-0.19705733737457468,0.07190720129921849,0
2,74,38,280,2.5687761078098106,2.2885023375588496,0
2,75,19,149,0.6224488686059838,0.5904089875587814,0
2,76,23,193,1.0322019715962631,1.1607609524443006,0
2,77,9,67,-0.4019338888697143,-0.47251967427332253,0
2,78,11,89,-0.19705733737457468,-0.18734369183056296,0
2,79,24,203,1.134640247343833,1.2903863990091913,0
2,80,23,173,1.0322019715962631,0.9015100593145191,0
2,81,13,111,0.00781921412056495,0.09783229061219663,0
2,82,11,102,-0.19705733737457468,-0.01883061129620502,0
2,83,32,278,1.9541464533243915,2.2625772482458717,0
2,84,15,133,0.21269576561570458,0.3830082730549562,0
2,85,51,445,3.9004736925282177,4.4273222058795465,1
2,86,14,121,0.11025748986813477,0.22745773717708737,0
2,87,29,266,1.646831626081682,2.1070267123680027,0
2,88,10,87,-0.2994956131221445,-0.21326878114354111,0
2,89,26,206,1.3395167988389727,1.3292740329786585,0
2,90,27,206,1.4419550745865424,1.3292740329786585,0
2,91,30,225,1.749269901829252,1.5755623814519508,0
2,92,12,101,-0.09461906162700487,-0.031793155952694094,0
2,93,28,246,1.5443933503341123,1.8477758192382212,0
2,94,17,123,0.41757231711084425,0.2533828264900655,0
2,95,11,85,-0.19705733737457468,-0.23919387045651924,0
2,96,26,202,1.3395167988389727,1.2774238543527023,0
2,97,18,146,0.520010592858414,0.5515213535893142,0
2,98,12,114,-0.09461906162700487,0.13671992458166385,0
2,99,10,89,-0.2994956131221445,-0.18734369183056296,0
2,100,10,88,-0.2994956131221445,-0.20030623648705204,0
2,101,22,173,0.9297636958486933,0.9015100593145191,0
2,102,75,601,6.358992310469893,6.449479172291842,1
2,103,13,98,0.00781921412056495,-0.07068078992216131,0
2,104,13,117,0.00781921412056495,0.17560755855113105,0
2,105,27,191,1.4419550745865424,1.1348358631313225,0
2,106,19,124,0.6224488686059838,0.2663453711465546,0
2,107,18,112,0.520010592858414,0.1107948352686857,0
2,108,19,136,0.6224488686059838,0.4218959070244234,0
2,109,35,246,2.261461280567101,1.8477758192382212,0
2,110,17,144,0.41757231711084425,0.525596264276336,0
2,111,18,134,0.520010592858414,0.3959708177114453,0
2,112,17,120,0.41757231711084425,0.2144951925205983,0
2,113,32,265,1.9541464533243915,2.0940641677115135,0
2,114,30,218,1.749269901829252,1.4848245688565274,0
2,115,13,103,0.00781921412056495,-0.005868066639715946,0
2,116,15,112,0.21269576561570458,0.1107948352686857,0
2,117,12,89,-0.09461906162700487,-0.18734369183056296,0
2,118,24,202,1.134640247343833,1.2774238543527023,0
2,119,11,90,-0.19705733737457468,-0.17438114717407388,0
2,120,31,216,1.8517081775768216,1.4588994795435493,0
2,121,15,146,0.21269576561570458,0.5515213535893142,0
2,122,11,111,-0.19705733737457468,0.09783229061219663,0
2,123,19,128,0.6224488686059838,0.31819554977251086,0
2,124,19,163,0.6224488686059838,0.7718846127496284,0
2,125,25,220,1.2370785230914028,1.5107496581695055,0
2,126,33,240,2.0565847290719614,1.770000551299287,0
2,127,14,124,0.11025748986813477,0.2663453711465546,0
2,128,18,151,0.520010592858414,0.6163340768717596,0
2,129,18,158,0.520010592858414,0.707071889467183,0
2,130,18,145,0.520010592858414,0.5385588089328252,0
2,131,9,68,-0.4019338888697143,-0.4595571296168335,0
2,132,16,133,0.3151340413632744,0.3830082730549562,0
2,133,27,222,1.4419550745865424,1.5366747474824838,0
2,134,15,105,0.21269576561570458,0.0200570226732622,0
2,135,15,116,0.21269576561570458,0.162645013894642,0
2,136,33,260,2.0565847290719614,2.029251444429068,0
2,137,19,153,0.6224488686059838,0.6422591661847377,0
2,138,10,75,-0.2994956131221445,-0.36881931702140996,0
2,139,14,123,0.11025748986813477,0.2533828264900655,0
2,140,31,241,1.8517081775768216,1.7829630959557758,0
2,141,15,105,0.21269576561570458,0.0200570226732622,0
2,142,22,170,0.9297636958486933,0.862622425345052,0
2,143,46,370,3.3882823137903686,3.455131356642866,1
2,144,34,289,2.1590230048195314,2.405165239467251,0
2,145,32,258,1.9541464533243915,2.0033263551160903,0
2,146,14,143,0.11025748986813477,0.5126337196198469,0
2,147,7,53,-0.606810440364854,-0.6539952994641696,0
2,148,20,146,0.7248871443535537,0.5515213535893142,0
2,149,17,133,0.41757231711084425,0.3830082730549562,0
2,150,32,267,1.9541464533243915,2.119989257024492,0
2,151,18,168,0.520010592858414,0.8366973360320737,0
2,152,8,57,-0.5043721646172842,-0.6021451208382133,0
2,153,12,100,-0.09461906162700487,-0.044755700609183165,0
2,154,13,95,0.00781921412056495,-0.10956842389162852,0
2,155,15,127,0.21269576561570458,0.3052330051160218,0
2,156,10,88,-0.2994956131221445,-0.20030623648705204,0
2,157,9,92,-0.4019338888697143,-0.14845605786109575,0
2,158,25,172,1.2370785230914028,0.8885475146580301,0
2,159,21,177,0.8273254201011235,0.9533602379404754,0
2,160,11,109,-0.19705733737457468,0.07190720129921849,0
2,161,15,124,0.21269576561570458,0.2663453711465546,0
2,162,9,67,-0.4019338888697143,-0.47251967427332253,0
2,163,9,78,-0.4019338888697143,-0.32993168305194276,0
2,164,49,351,3.695597141033078,3.208843008169574,1
2,165,32,239,1.9541464533243915,1.7570380066427977,0
2,166,12,108,-0.09461906162700487,0.058944656642729416,0
2,167,23,186,1.0322019715962631,1.070023139848877,0
2,168,16,135,0.3151340413632744,0.40893336236793437,0
2,169,13,89,0.00781921412056495,-0.18734369183056296,0
2,170,22,170,0.9297636958486933,0.862622425345052,0
2,171,18,131,0.520010592858414,0.35708318374197806,0
2,172,15,118,0.21269576561570458,0.18857010320762013,0
2,173,26,184,1.3395167988389727,1.044098050535899,0
2,174,29,231,1.646831626081682,1.6533376493908853,0
2,175,14,116,0.11025748986813477,0.162645013894642,0
2,176,15,113,0.21269576561570458,0.12375737992517478,0
2,177,64,511,5.232171277246625,5.282850153207826,1
2,178,44,323,3.183405762295229,2.84589175778788,1
2,179,8,76,-0.5043721646172842,-0.3558567723649209,0
2,180,18,144,0.520010592858414,0.525596264276336,0
2,181,14,112,0.11025748986813477,0.1107948352686857,0
2,182,16,110,0.3151340413632744,0.08486974595570757,0
2,183,14,117,0.11025748986813477,0.17560755855113105,0
2,184,32,246,1.9541464533243915,1.8477758192382212,0
2,185,45,358,3.2858440380427987,3.2995808207649975,1
2,186,17,142,0.41757231711084425,0.4996711749633579,0
2,187,68,555,5.641924380236905,5.8532021180933445,1
2,188,19,159,0.6224488686059838,0.7200344341236721,0
2,189,29,231,1.646831626081682,1.6533376493908853,0
2,190,13,110,0.00781921412056495,0.08486974595570757,0
2,191,28,246,1.5443933503341123,1.8477758192382212,0
2,192,6,47,-0.7092487161124238,-0.731770567403104,0
2,193,15,121,0.21269576561570458,0.22745773717708737,0
2,194,27,200,1.4419550745865424,1.251498765039724,0
2,195,14,123,0.11025748986813477,0.2533828264900655,0
2,196,77,568,6.563868861965033,6.021715198627702,1
2,197,30,235,1.749269901829252,1.7051878280168413,0
2,198,28,209,1.5443933503341123,1.3681616669481258,0
2,199,13,93,0.00781921412056495,-0.13549351320460667,0
2,200,25,188,1.2370785230914028,1.0959482291618552,0
2,201,14,108,0.11025748986813477,0.058944656642729416,0
2,202,9,70,-0.4019338888697143,-0.4336320403038553,0
2,203,28,204,1.5443933503341123,1.3033489436656804,0
2,204,17,121,0.41757231711084425,0.22745773717708737,0
2,205,16,110,0.3151340413632744,0.08486974595570757,0
2,206,13,102,0.00781921412056495,-0.01883061129620502,0
2,207,13,89,0.00781921412056495,-0.18734369183056296,0
2,208,15,135,0.21269576561570458,0.40893336236793437,0
2,209,13,93,0.00781921412056495,-0.13549351320460667,0
2,210,18,136,0.520010592858414,0.4218959070244234,0
2,211,20,148,0.7248871443535537,0.5774464429022923,0
2,212,22,179,0.9297636958486933,0.9792853272534535,0
2,213,51,402,3.9004736925282177,3.8699327856505166,1
2,214,32,248,1.9541464533243915,1.8737009085511993,0
2,215,26,197,1.3395167988389727,1.2126111310702568,0
2,216,26,191,1.3395167988389727,1.1348358631313225,0
2,217,60,478,4.822418174256346,4.855086179543686,1
2,218,18,139,0.520010592858414,0.4607835409938907,0
2,219,27,244,1.4419550745865424,1.821850729925243,0
2,220,28,232,1.5443933503341123,1.6663001940473743,0
2,221,41,375,2.87609093505252,3.5199440799253114,1
2,222,28,238,1.5443933503341123,1.7440754619863086,0
2,223,18,162,0.520010592858414,0.7589220680931393,0
2,224,15,126,0.21269576561570458,0.2922704604595327,0
2,225,16,123,0.3151340413632744,0.2533828264900655,0
2,226,13,108,0.00781921412056495,0.058944656642729416,0
2,227,7,55,-0.606810440364854,-0.6280702101511915,0
2,228,45,358,3.2858440380427987,3.2995808207649975,1
2,229,46,370,3.3882823137903686,3.455131356642866,1
2,230,30,218,1.749269901829252,1.4848245688565274,0
2,231,49,402,3.695597141033078,3.8699327856505166,1
2,232,37,283,2.4663378320622407,2.327389971528317,0
2,233,69,557,5.7443626559844745,5.879127207406323,1
2,234,28,236,1.5443933503341123,1.7181503726733305,0
2,235,50,386,3.798035416780648,3.6625320711466913,1
2,236,26,215,1.3395167988389727,1.44593693488706,0
2,237,35,274,2.261461280567101,2.210727069619915,0
2,238,9,80,-0.4019338888697143,-0.3040065937389646,0
2,239,16,120,0.3151340413632744,0.2144951925205983,0
2,240,29,224,1.646831626081682,1.5625998367954619,0
2,241,7,67,-0.606810440364854,-0.47251967427332253,0
2,242,7,65,-0.606810440364854,-0.4984447635863007,0
2,243,28,200,1.5443933503341123,1.251498765039724,0
2,244,10,70,-0.2994956131221445,-0.4336320403038553,0
2,245,17,136,0.41757231711084425,0.4218959070244234,0
2,246,56,413,4.412665071266066,4.012520776871896,1
2,247,47,321,3.4907205895379385,2.8199666684749016,1
2,248,30,235,1.749269901829252,1.7051878280168413,0
2,249,63,467,5.129733001499056,4.712498188322306,1
2,250,16,141,0.3151340413632744,0.4867086303068688,0
2,251,28,232,1.5443933503341123,1.6663001940473743,0
2,252,10,80,-0.2994956131221445,-0.3040065937389646,0
2,253,52,410,4.002911968275788,3.973633142902429,1
2,254,22,170,0.9297636958486933,0.862622425345052,0
2,255,51,373,3.9004736925282177,3.4940189906123336,1
2,256,28,188,1.5443933503341123,1.0959482291618552,0
2,257,25,224,1.2370785230914028,1.5625998367954619,0
2,258,45,318,3.2858440380427987,2.7810790345054346,1
2,259,71,490,5.949239207479614,5.010636715421555,1
2,260,40,297,2.77365265930495,2.508865596719164,0
2,261,26,189,1.3395167988389727,1.1089107738183444,0
2,262,24,174,1.134640247343833,0.9144726039710082,0
2,263,12,94,-0.09461906162700487,-0.1225309685481176,0
2,264,44,336,3.183405762295229,3.0144048383222377,1
2,265,28,237,1.5443933503341123,1.7311129173298196,0
2,266,36,295,2.3638995563146707,2.4829405074061857,0
