norm,count
م,25269
ل,21025
ن,16891
و,15764
ا,15466
ه,13906
ي,10895
ر,10631
ب,10411
ك,10018
ت,9025
ع,8934
أ,8900
ف,8196
ـ,6848
ٱل,6844
ق,6690
ى,6598
إ,5088
ذ,4681
س,4636
د,4571
ح,4122
ون,3591
ج,3149
ين,3084
وا,2919
ء,2782
ٱلل,2684
ة,2344
خ,2232
ش,1819
ص,1591
ض,1568
ال,1303
ث,1229
غ,1180
ز,1160
ان,1131
ط,1068
يم,1047
ئ,906
اب,750
ؤ,705
ام,609
ظ,580
ٱلس,580
ول,573
يه,573
ٱلن,559
نت,553
ير,527
ٱلر,519
يل,500
ار,498
اد,395
اي,394
ور,384
وه,370
ات,339
يد,334
ٱلص,296
اس,294
نف,275
ٱت,268
ٱس,257
نك,225
نز,224
وب,215
ند,213
ٱلد,211
اخ,211
يع,207
ٱلش,197
وس,186
ود,158
وت,146
يب,142
ٱلظ,131
اف,119
نس,112
يز,111
ٱع,108
وح,107
اع,102
اق,102
يك,95
وم,93
وك,92
يق,90
ٱب,85
ٱلط,78
اه,78
وف,71
يث,70
وق,68
اح,68
ٱد,67
نذ,65
اج,63
نظ,63
نص,62
ٱذ,61
ٱلت,61
ٱلز,60
او,59
لن,58
اذ,54
وع,53
يت,52
ٱخ,52
ٱر,51
ٱص,50
ٱلذ,46
ٱم,46
اك,46
ٱج,44
يس,43
اص,40
ٱلض,40
ٱنظ,39
يح,38
ٱق,38
ٱف,38
ٱش,38
دت,38
يف,36
نق,36
نج,35
اط,34
نش,33
ٱنت,30
ٱه,29
وط,29
اث,28
نث,27
از,26
ٱلث,25
يض,24
ٱغ,23
ٱح,22
اض,22
ٱث,22
يظ,22
وج,20
ٱض,19
لر,17
يط,17
نط,16
ٱئ,15
ٱك,15
اغ,15
وذ,14
وث,13
يص,12
ٱنف,12
وز,12
وص,12
وض,11
لظ,11
ٱنق,9
ٱط,9
لش,9
لس,9
لذ,9
اش,9
ٱنص,9
ٱنط,8
ٱن,7
وش,7
حم,7
يش,6
ٱنش,6
يج,6
لط,6
ٱز,5
اظ,5
اى,5
لت,4
لد,4
طت,4
طس,3
ٱنك,3
يغ,3
لل,2
ٱنس,2
وظ,2
يذ,2
لص,2
نض,2
هه,2
طه,1
لز,1
كك,1
قك,1
هيع,1
يخ,1
وخ,1
يي,1
ٱؤ,1
