sura,n_chars,n_chars_no_diac,n_diac,n_words,n_verses,diac_per_char,diac_per_word
1,289,165,124,110,7,0.7515151515151515,1.1272727272727272
2,57180,33243,23937,22626,286,0.7200613663026803,1.0579421904004243
3,32428,18864,13564,12814,200,0.7190415606446141,1.058529733104417
4,35293,20675,14618,14062,176,0.707037484885127,1.0395391836154175
5,26465,15399,11066,10450,120,0.7186180920839016,1.0589473684210526
6,28111,16202,11909,11318,165,0.7350327120108628,1.0522177063085352
7,31330,18128,13202,12746,206,0.7282656663724625,1.0357759297034363
8,11708,6789,4919,4585,75,0.7245544262778023,1.0728462377317338
9,23881,13876,10005,9447,129,0.7210291150187373,1.0590663702762781
10,16608,9624,6984,6665,109,0.7256857855361596,1.0478619654913728
11,17288,10020,7268,6973,123,0.7253493013972055,1.0423060375734978
12,16059,9277,6782,6471,111,0.7310552980489382,1.0480605779632206
13,7880,4557,3323,3107,43,0.7292078121571209,1.0695204377212746
14,7742,4482,3260,3088,52,0.7273538598839804,1.055699481865285
15,6166,3533,2633,2537,99,0.7452589866968582,1.037839968466693
16,17102,9903,7199,6854,128,0.7269514288599415,1.0503355704697988
17,14510,8435,6075,5944,111,0.7202133965619443,1.0220390309555856
18,14347,8357,5990,5978,110,0.716764389134857,1.0020073603211777
19,8714,5042,3672,3556,98,0.728282427608092,1.0326209223847018
20,11894,6829,5065,4958,135,0.7416898521013325,1.0215812827753126
21,10996,6356,4640,4524,112,0.7300188797986155,1.0256410256410255
22,11612,6756,4856,4519,78,0.7187685020722321,1.0745740208010621
23,9667,5579,4088,3997,118,0.7327478042659975,1.02276707530648
24,12586,7276,5310,4980,64,0.7297965915338098,1.0662650602409638
25,8365,4927,3438,3411,77,0.6977877004262228,1.007915567282322
26,11937,6892,5045,4860,227,0.7320081253627394,1.0380658436213992
27,10480,6074,4406,4257,93,0.7253868949621337,1.0350011745360583
28,12986,7522,5464,5295,88,0.7264025525126296,1.0319169027384325
29,9341,5415,3926,3731,69,0.7250230840258541,1.0522648083623694
